在2014年的时候呢开始这个做这个数字货币的这个项目，成立了项目组。	在二零一四年的时候呢开始这个做这个数字货币的这个项目，成立了项目组。
本台消息7月16号出版的第14期求是杂志。	本台消息七月十六号出版的第十四期求是杂志。
看经济结构，产业结构在优化，工业转型升级加快推进，上半年高技术制造业增加值同比增长9%。	看经济结构，产业结构在优化，工业转型升级加快推进，上半年高技术制造业增加值同比增长百分之九。
从上个世纪60年代组建至今，内蒙古大兴安岭森林消防支队其前中队的一代代消防队员们。	从上个世纪六十年代组建至今，内蒙古大兴安岭森林消防支队其前中队的一代代消防队员们。
1987年5月，大兴安岭地区发生新中国成立以来最严重的一次特大火灾。	一九八七年五月，大兴安岭地区发生新中国成立以来最严重的一次特大火灾。
2017年4月30号，边境大火突袭大兴安岭伊木河林场。	二零一七年四月三十号，边境大火突袭大兴安岭伊木河林场。
到2030年居民主要健康指标水平进入高收入国家行列，健康公平基本实现。	到二零三零年居民主要健康指标水平进入高收入国家行列，健康公平基本实现。
在荒无人烟的林海孤岛中默默坚守了57年。	在荒无人烟的林海孤岛中默默坚守了五十七年。
新中国成立之初一穷二白，70年来在中国共产党的领导下。	新中国成立之初一穷二白，七十年来在中国共产党的领导下。
为了填补大西南的铁路空白，1950年6月新生的共和国开始修建成渝铁路。	为了填补大西南的铁路空白，一九五零年六月新生的共和国开始修建成渝铁路。
当时17岁的西南军区军工筑路第一总队参谋孙姨孙参加了成渝铁路修建的全过程。	当时十七岁的西南军区军工筑路第一总队参谋孙姨孙参加了成渝铁路修建的全过程。
350米的头像大小钢梁就这么加起来了。	三百五十米的头像大小钢梁就这么加起来了。
在成渝铁路完工后的67年里，广袤的中华大地上纵横交错的铁路网在不断延展。	在成渝铁路完工后的六十七年里，广袤的中华大地上纵横交错的铁路网在不断延展。
2017年具有完全自主知识产权的中国标准动车组复兴号投入运营，标志着我国高铁技术装备开始领跑世界。	二零一七年具有完全自主知识产权的中国标准动车组复兴号投入运营，标志着我国高铁技术装备开始领跑世界。
2006年青藏铁路的开通成为世界屋脊发展的引擎，进入新时代交通强国，铁路先行。	二零零六年青藏铁路的开通成为世界屋脊发展的引擎，进入新时代交通强国，铁路先行。
1975年第一条电气化铁路，宝成铁路建成结束了蜀道难难于上青天的历史。	一九七五年第一条电气化铁路，宝成铁路建成结束了蜀道难难于上青天的历史。
经过3万多解放军和10万民工艰苦卓绝的奋斗，1952年6月13号成渝铁路竣工。	经过三万多解放军和十万民工艰苦卓绝的奋斗，一九五二年六月十三号成渝铁路竣工。
对新中国70年发生了怎样的变化？中国经济奇迹是如何创造的？	对新中国七十年发生了怎样的变化？中国经济奇迹是如何创造的？
中国道路为什么好，中国共产党为什么能等12个重大问题作出了深入浅出的解读阐释。	中国道路为什么好，中国共产党为什么能等十二个重大问题作出了深入浅出的解读阐释。
有助于广大干部群众深入理解新中国70年来的伟大历程，辉煌成就和宝贵经验。	有助于广大干部群众深入理解新中国七十年来的伟大历程，辉煌成就和宝贵经验。
今天是第5个世界青年技能日，人社部等6部门以技能扶贫为主题，开展了技能扶贫政策的全面宣传。	今天是第五个世界青年技能日，人社部等六部门以技能扶贫为主题，开展了技能扶贫政策的全面宣传。
部分地区甚至超过300毫米。水利部监测显示，入汛以来，全国377条河流发生超警以上洪水。	部分地区甚至超过三百毫米。水利部监测显示，入汛以来，全国三百七十七条河流发生超警以上洪水。
14号法国、英国和德国三国领导人发表联合声明，呼吁美国、伊朗等各方恢复对话。	十四号法国、英国和德国三国领导人发表联合声明，呼吁美国、伊朗等各方恢复对话。
据了解，2018年全国开展贫困劳动力培训200万人次，技工院校招收建档立卡贫困家庭子女6.42万人。	据了解，二零一八年全国开展贫困劳动力培训两百万人次，技工院校招收建档立卡贫困家庭子女六点四二万人。
按计划欧盟各国外长将于当地时间15号在布鲁塞尔举行会议，讨论伊朗核问题。	按计划欧盟各国外长将于当地时间十五号在布鲁塞尔举行会议，讨论伊朗核问题。
跳水女双10米台决赛，中国组合芦苇张佳琪夺得冠军。	跳水女双十米台决赛，中国组合芦苇张佳琪夺得冠军。
伊朗外长扎里夫14号说，如果欧洲想维护伊核协议，就应该履行承诺在伊朗进行投资。	伊朗外长扎里夫十四号说，如果欧洲想维护伊核协议，就应该履行承诺在伊朗进行投资。
2015年签署的伊核协议面临着失败风险，所有利益相关方都有必要停下来考虑自身行动可能产生的后果。	二零一五年签署的伊核协议面临着失败风险，所有利益相关方都有必要停下来考虑自身行动可能产生的后果。
俄军近几天派遣多架运输机向土耳其空运土方购买的s400防空导弹系统。	俄军近几天派遣多架运输机向土耳其空运土方购买的s四百防空导弹系统。
欧盟主导的伽利略卫星导航系统预定于2020年实现全部卫星组网。	欧盟主导的伽利略卫星导航系统预定于二零二零年实现全部卫星组网。
我们所要坚守的政治方向就是共产主义远大理想和中国特色社会主义共同理想，两个100年奋斗目标。	我们所要坚守的政治方向就是共产主义远大理想和中国特色社会主义共同理想，两个一百年奋斗目标。
在中央政治局第15次集体学习时的重要讲话结合起来。	在中央政治局第十五次集体学习时的重要讲话结合起来。
上半年我国国内生产总值同比增长6.3%，经济运行继续保持在合理区间。	上半年我国国内生产总值同比增长百分之六点三，经济运行继续保持在合理区间。
通知指出，2010年10月中共中央办公厅国务院办公厅印发的。	通知指出，二零一零年十月中共中央办公厅国务院办公厅印发的。
今年是新中国成立70周年，新闻联播推出系列报道新中国的第一，记录新中国砥砺前行的奋斗历程。	今年是新中国成立七十周年，新闻联播推出系列报道新中国的第一，记录新中国砥砺前行的奋斗历程。
本规定自2019年7月7号起施行。2010年10月12号中共中央办公厅国务院办公厅印发的。	本规定自二零一九年七月七号起施行。二零一零年十月十二号中共中央办公厅国务院办公厅印发的。
"初步核算上半年国内生产总值450,933亿元，按可比价格计算同比增长6.3%。"	初步核算上半年国内生产总值四十五万九百三十三亿元，按可比价格计算同比增长百分之六点三。
6.3%是一个含金量比较高的速度。我们看到就业的情况还比较稳定。	百分之六点三是一个含金量比较高的速度。我们看到就业的情况还比较稳定。
看三大民生指标，从就业看，上半年全国城镇新增就业完成全年目标任务的67%。	看三大民生指标，从就业看，上半年全国城镇新增就业完成全年目标任务的百分之六十七。
意见指出，党中央国务院高度重视养老服务，按照2019年政府工作报告对养老服务工作的部署。	意见指出，党中央国务院高度重视养老服务，按照二零一九年政府工作报告对养老服务工作的部署。
确保到2022年在保障人人享有基本养老服务的基础上。	确保到二零二二年在保障人人享有基本养老服务的基础上。
意见提出了6个方面，共28条具体政策措施。一是深化放管服改革。	意见提出了六个方面，共二十八条具体政策措施。一是深化放管服改革。
主要包括建立养老服务综合监管制度等7项措施。二是拓展养老服务投融资渠道。	主要包括建立养老服务综合监管制度等七项措施。二是拓展养老服务投融资渠道。
主要包括建立健全长期照护服务体系等4项措施。	主要包括建立健全长期照护服务体系等四项措施。
五是促进养老服务高质量发展，主要包括提升医养，结合服务能力等6项措施。	五是促进养老服务高质量发展，主要包括提升医养，结合服务能力等六项措施。
虽然距离2019年中国国际进口博览会还有半年多，但目前已有1800多家企业报名参展。	虽然距离二零一九年中国国际进口博览会还有半年多，但目前已有一千八百多家企业报名参展。
主要包括实施特困人员供养、服务设施、敬老院改造提升工程等5项措施。	主要包括实施特困人员供养、服务设施、敬老院改造提升工程等五项措施。
2018年举办的首届进博会被打造成面向全球的开放型合作平台。	二零一八年举办的首届进博会被打造成面向全球的开放型合作平台。
这一年中国扩大进口额接近2万亿美元，在主动开放市场的同时。	这一年中国扩大进口额接近二万亿美元，在主动开放市场的同时。
中国也正在积极参与国际规则的制定。2018年中国出台扩大金融开放的11条措施。	中国也正在积极参与国际规则的制定。二零一八年中国出台扩大金融开放的十一条措施。
其中已签约企业数量超过900家，分别来自77个国家和地区。	其中已签约企业数量超过九百家，分别来自七十七个国家和地区。
公布最新版外商投资负面清单，清单长度由63条减至48条，中国4次降低关税。	公布最新版外商投资负面清单，清单长度由六十三条减至四十八条，中国四次降低关税。
一带一路倡议提出近6年来从主动开放市场参与规则制定到深度融入世界。	一带一路倡议提出近六年来从主动开放市场参与规则制定到深度融入世界。
其中有30多个共建一带一路国家。	其中有三十多个共建一带一路国家。
关税总水平从上一年的9.8%降至7.5%，全年新增外资企业6.9万家。	关税总水平从上一年的百分之九点八降至百分之七点五，全年新增外资企业六点九万家。
本台消息，国家主席习近平4月16号就法国巴黎圣母院发生火灾。	本台消息，国家主席习近平四月十六号就法国巴黎圣母院发生火灾。
与法国、德国、日本、新加坡等20多个发达国家和新兴经济体开展第三方市场合作。	与法国、德国、日本、新加坡等二十多个发达国家和新兴经济体开展第三方市场合作。
今年一季度，中国与共建一带一路国家外贸进出口总额达到2万亿美元，同比增长7.8%。	今年一季度，中国与共建一带一路国家外贸进出口总额达到二万亿美元，同比增长百分之七点八。
一大一路倡议提出近6年来，在全球贸易持续低迷的背景下。	一大一路倡议提出近六年来，在全球贸易持续低迷的背景下。
目前中国已与40多个共建一带一路国家建立了双边产能与投资合作机制。	目前中国已与四十多个共建一带一路国家建立了双边产能与投资合作机制。
一季度累计实现营业收入6.8万亿元，同比增长6.3%，有23家企业收入增幅超过20%。	一季度累计实现营业收入六点八万亿元，同比增长百分之六点三，有二十三家企业收入增幅超过百分之二十。
中国与共建一带一路国家货物贸易总额超过6万亿美元，呈持续增长态势。	中国与共建一带一路国家货物贸易总额超过六万亿美元，呈持续增长态势。
48家企业收入增幅超过11%季度央企累计实现利润总额4265亿元。	四十八家企业收入增幅超过百分之十一季度央企累计实现利润总额四千两百六十五亿元。
同比增长13.1%，有36家企业利润总额增幅超过20%。	同比增长百分之十三点一，有三十六家企业利润总额增幅超过百分之二十。
财政部最新数据显示，今年一季度全国一般公共预算收入和支出均超过5万亿元。	财政部最新数据显示，今年一季度全国一般公共预算收入和支出均超过五万亿元。
收入和支出同比分别增长6.2%和15%，其中税收收入增速明显放缓，同比增长5.4%。	收入和支出同比分别增长百分之六点二和百分之十五，其中税收收入增速明显放缓，同比增长百分之五点四。
回落了11.9个百分点。	回落了十一点九个百分点。
国内增值税同比增长10.7%，同比回落9.4个百分点。	国内增值税同比增长百分之十点七，同比回落九点四个百分点。
个人所得税同比下降29.7%，回落50.4个百分点。	个人所得税同比下降百分之二十九点七，回落五十点四个百分点。
目前11个试点城市均已实施药品集中采购和使用。	目前十一个试点城市均已实施药品集中采购和使用。
25个中选品种采购总金额为5.33亿元，约定采购量完成进度达27.31%。	二十五个中选品种采购总金额为五点三三亿元，约定采购量完成进度达百分之二十七点三一。
组成联盟，开展药品采购，集合11个城市公立医院的用量，实现量价挂钩，以量换价。	组成联盟，开展药品采购，集合十一个城市公立医院的用量，实现量价挂钩，以量换价。
已中选的乙肝抗病毒、仿制药、nt卡为分散片为例，价格由中选前的每盒248元下降到17.36元。	已中选的乙肝抗病毒、仿制药、nt卡为分散片为例，价格由中选前的每盒两百四十八元下降到十七点三六元。
河南郑州利用拆违拆旧，打造7000里绿道。	河南郑州利用拆违拆旧，打造七千里绿道。
很多人想象不到，就在两个多月前，这里还集中了60多家小散乱污企业，多个废品收购站。	很多人想象不到，就在两个多月前，这里还集中了六十多家小散乱污企业，多个废品收购站。
而在城区主干道中原西路两侧违建拆除后，腾出的土地也建成了两条50~120米宽的绿道。	而在城区主干道中原西路两侧违建拆除后，腾出的土地也建成了两条五十~一百二十米宽的绿道。
2012年开始，郑州依托绿道建设打造城区生态廊道，串联起公园绿地。	二零一二年开始，郑州依托绿道建设打造城区生态廊道，串联起公园绿地。
郑州生态廊道的植物品种应用已经达到了1000多种。	郑州生态廊道的植物品种应用已经达到了一零零零多种。
据鸟类动物学会统计，近几年郑州鸟类已经增加了20多种。	据鸟类动物学会统计，近几年郑州鸟类已经增加了二十多种。
串联起了市区146个公园和近2万公顷绿地。	串联起了市区一百四十六个公园和近二万公顷绿地。
目前郑州市绿道还有190个断点。	目前郑州市绿道还有一百九十个断点。
出生于1902年的贺光，20岁考入北洋军阀举办的洛阳讲武堂学习军事。	出生于一九零二年的贺光，二十岁考入北洋军阀举办的洛阳讲武堂学习军事。
这让国民党反动派惊恐不已。8月11号，带贺光前去改编诈降的国民党敌军时。	这让国民党反动派惊恐不已。八月十一号，带贺光前去改编诈降的国民党敌军时。
如今贺光家乡的人们正在按照2020年坚决打赢脱贫攻坚战的要求。	如今贺光家乡的人们正在按照二零二零年坚决打赢脱贫攻坚战的要求。
农业农村部今天发布2018年海峡两岸农产品贸易额已增至37.73亿美元。	农业农村部今天发布二零一八年海峡两岸农产品贸易额已增至三十七点七三亿美元。
相比2012年增长幅度超过60%。目前全国14个省区市共建立了29个。	相比二零一二年增长幅度超过百分之六十。目前全国十四个省区市共建立了二十九个。
早鹤腔实弹的晚底包围，他临危不惧与敌人英勇搏斗，牺牲时年仅29岁。	早鹤腔实弹的晚底包围，他临危不惧与敌人英勇搏斗，牺牲时年仅二十九岁。
国家统计局今天发布房价数据显示，3月份一二三线城市新建商品住宅销售价格。	国家统计局今天发布房价数据显示，三月份一二三线城市新建商品住宅销售价格。
同比涨幅微升，涨幅分别比上月扩大0.1个百分点，0.2个百分点和0.3个百分点。	同比涨幅微升，涨幅分别比上月扩大零点一个百分点，零点二个百分点和零点三个百分点。
今天发布的第16次全国国民阅读调查结果显示二，018年。	今天发布的第十六次全国国民阅读调查结果显示二，零一十八年。
以网络手机和电子阅读器等媒介为主要形式的数字化阅读接触率为76.2%。	以网络手机和电子阅读器等媒介为主要形式的数字化阅读接触率为百分之七十六点二。
比2017年上升了3.2个百分点。	比二零一七年上升了三点二个百分点。
俄罗斯外交部副部长格鲁什科15号向媒体表示。	俄罗斯外交部副部长格鲁什科十五号向媒体表示。
将来自100多个国家和地区的驻华使节代表，展示天津的文化底蕴与新时代发展机遇。	将来自一百多个国家和地区的驻华使节代表，展示天津的文化底蕴与新时代发展机遇。
较2017年的80.3%有所提升。	较二零一七年的百分之八十点三有所提升。
俄罗斯外交部副部长格鲁什科15号说。	俄罗斯外交部副部长格鲁什科十五号说。
我国成年国民的综合阅读率为80.8%。	我国成年国民的综合阅读率为百分之八十点八。
2018年北约军舰在黑海水域的累计逗留时间，由此前的每年最多80天增至120天。	二零一八年北约军舰在黑海水域的累计逗留时间，由此前的每年最多八十天增至一百二十天。
2011年福岛核事故中，1号到三号机组严重受损，但由于工作难度大，准备过程复杂。	二零一一年福岛核事故中，一号到三号机组严重受损，但由于工作难度大，准备过程复杂。
和燃料棒取出工作比原计划晚了4年多。	和燃料棒取出工作比原计划晚了四年多。
今天是4月16号，星期二，农历3月12，欢迎收看新闻联播节目。	今天是四月十六号，星期二，农历三月十二，欢迎收看新闻联播节目。
日本东京电力公司15号开始取出福岛第一核电站事故机组中的核燃料棒。	日本东京电力公司十五号开始取出福岛第一核电站事故机组中的核燃料棒。
有媒体称修复费用预计需要1亿5000万欧元。	有媒体称修复费用预计需要一亿五千万欧元。
巴黎圣母院为哥特式建筑是建于1163年1345年完工。	巴黎圣母院为哥特式建筑是建于一一六三年一三四五年完工。
每年吸引游客大约1300万人次。	每年吸引游客大约一千三百万人次。
今年以来作为宏观调控的重要手段，财政政策加力提效，全年减税降费规模近2万亿元。	今年以来作为宏观调控的重要手段，财政政策加力提效，全年减税降费规模近二万亿元。
宏观政策有效释放稳定了市场稳定了预期。今年3月。	宏观政策有效释放稳定了市场稳定了预期。今年三月。
全国居民消费价格指数CPI同比上涨2.3%。	全国居民消费价格指数CPI同比上涨百分之二点三。
增幅0.4%，实现9个月以来的首次上扬。生产环节信心的恢复。	增幅百分之零点四，实现九个月以来的首次上扬。生产环节信心的恢复。
最新的中国制造业采购经理指数pmi在3月跨过了50%的临界点。	最新的中国制造业采购经理指数pmi在三月跨过了百分之五十的临界点。
重返扩张区间回升1.3个百分点，反弹至50.5%，走出6个月里的新高。	重返扩张区间回升一点三个百分点，反弹至百分之五十点五，走出六个月里的新高。
从2018年底布局来年经济大势的中央经济工作会议。	从二零一八年底布局来年经济大势的中央经济工作会议。
到初春时节，中共中央政治局第13次集体学习，中央定调高质量发展的长远决策。	到初春时节，中共中央政治局第十三次集体学习，中央定调高质量发展的长远决策。
将2019年全球经济增长预期下调至3.3%。	将二零一九年全球经济增长预期下调至百分之三点三。
同时将对中国经济增长的预期上调0.1个百分点至6.3%。	同时将对中国经济增长的预期上调零点一个百分点至百分之六点三。
全国人大常委会委员长栗战书16号在人民大会堂会见德国联邦议院副议长弗里德里希。	全国人大常委会委员长栗战书十六号在人民大会堂会见德国联邦议院副议长弗里德里希。
他强调陕西要按照习近平总书记5个扎实要求，认真落实好党中央国务院决策部署。	他强调陕西要按照习近平总书记五个扎实要求，认真落实好党中央国务院决策部署。
4月14号至16号，中共中央政治局常委国务院副总理韩正在陕西调研。	四月十四号至十六号，中共中央政治局常委国务院副总理韩正在陕西调研。
距离老队长王进喜在大庆油田打出第一口油井，已经整整59年了。	距离老队长王进喜在大庆油田打出第一口油井，已经整整五十九年了。
面对困难，王进喜带领1205钻井队应试平整人拉肩扛杠翘手台。	面对困难，王进喜带领一二零五钻井队应试平整人拉肩扛杠翘手台。
一天一夜端水50多吨，打井时突发井喷，为了避免井毁人亡。	一天一夜端水五十多吨，打井时突发井喷，为了避免井毁人亡。
爱国情奋斗者系列报道，今天播出铁人精神传承60载，我为祖国奋斗加油。	爱国情奋斗者系列报道，今天播出铁人精神传承六十载，我为祖国奋斗加油。
今年已经82岁的王启民被誉为第二代大庆新铁人。	今年已经八十二岁的王启民被誉为第二代大庆新铁人。
要发展就要拓展更广阔的天地。在一带一路重要国家，伊拉克来自大庆油田的海外1205钻井队。	要发展就要拓展更广阔的天地。在一带一路重要国家，伊拉克来自大庆油田的海外一二零五钻井队。
目前大庆油田的海外市场已经遍布全球35个国家和地区，2018年实现营收人民币突破百亿元。	目前大庆油田的海外市场已经遍布全球三十五个国家和地区，二零一八年实现营收人民币突破百亿元。
2005年曹燕生进入航天科工二院283厂，原以为能够接触到先进的数控加工设备。	二零零五年曹燕生进入航天科工二院两百八十三厂，原以为能够接触到先进的数控加工设备。
假期第一天踏青赏花也是热门选择。湖北麻城归封山10万多亩杜鹃花连片开放，江苏大丰。	假期第一天踏青赏花也是热门选择。湖北麻城归封山十万多亩杜鹃花连片开放，江苏大丰。
0.005左右，相当于头发丝的1/16，这应该是目前这个加工的应该是算是极致了。	零点零零五左右，相当于头发丝的十六分之一，这应该是目前这个加工的应该是算是极致了。
本台消息，今天出版的第9期求是杂志，发表中共中央总书记、国家主席、中央军委主席习近平的重要文章。	本台消息，今天出版的第九期求是杂志，发表中共中央总书记、国家主席、中央军委主席习近平的重要文章。
荷兰花海游人如织，3000万株郁金香吸引来上万游客。	荷兰花海游人如织，三千万株郁金香吸引来上万游客。
屋盖面积达18万平方米，顶部设有大面积天窗，保证自然光充足，预计北京大兴国际机场。	屋盖面积达十八万平方米，顶部设有大面积天窗，保证自然光充足，预计北京大兴国际机场。
将在今年6月30号前全部竣工验收，9月底前通航。	将在今年六月三十号前全部竣工验收，九月底前通航。
4月29号首次淮河生态经济带省际联席会在江苏淮安召开，沿淮5省29个市县共同发布。	四月二十九号首次淮河生态经济带省际联席会在江苏淮安召开，沿淮五省二十九个市县共同发布。
在今年8月16号12:00之前，捕捞渔船为捕捞渔船配套服务的捕捞辅助船等都不得出海作业。	在今年八月十六号十二:之前，捕捞渔船为捕捞渔船配套服务的捕捞辅助船等都不得出海作业。
心手相连，点亮生命健康扶贫大型公益活动。4月18号到4月30号在云南开展。	心手相连，点亮生命健康扶贫大型公益活动。四月十八号到四月三十号在云南开展。
日本第126代天皇德仁的即位仪式今天上午在东京举行。	日本第一百二十六代天皇德仁的即位仪式今天上午在东京举行。
委内瑞拉总统马杜罗当地时间4月30号晚上发表电视讲话说。	委内瑞拉总统马杜罗当地时间四月三十号晚上发表电视讲话说。
今天是5月1号星期三，农历3月27，欢迎收看新闻联播节目。	今天是五月一号星期三，农历三月二十七，欢迎收看新闻联播节目。
文章指出，中华文明经历了5000多年的历史变迁，但始终一脉相承。	文章指出，中华文明经历了五千多年的历史变迁，但始终一脉相承。
本台消息国家主席习近平5月1号同多米尼加总统梅迪纳互之贺电，庆祝两国建交一周年。	本台消息国家主席习近平五月一号同多米尼加总统梅迪纳互之贺电，庆祝两国建交一周年。
去年11月你成功对中国进行国事访问，我们共同规划两国关系发展蓝图达成很多重要共识。	去年十一月你成功对中国进行国事访问，我们共同规划两国关系发展蓝图达成很多重要共识。
习近平在贺电中指出，去年5月中国同多米尼加正式建立外交关系，揭开了两国关系新篇章。	习近平在贺电中指出，去年五月中国同多米尼加正式建立外交关系，揭开了两国关系新篇章。
本台消息，5月1号，国家主席习近平致电日本新天皇德人对其即位表示祝贺。	本台消息，五月一号，国家主席习近平致电日本新天皇德人对其即位表示祝贺。
习近平总书记在纪念五四运动100周年大会上的重要讲话，在各地引发热烈反响。	习近平总书记在纪念五四运动一百周年大会上的重要讲话，在各地引发热烈反响。
论学习贯彻习近平总书记在纪念五四运动100周年大会上重要讲话。	论学习贯彻习近平总书记在纪念五四运动一百周年大会上重要讲话。
文章指出，在2019年中国北京世界园艺博览会开幕式上的重要讲话中，习近平主席洞察人类文明发展规律。	文章指出，在二零一九年中国北京世界园艺博览会开幕式上的重要讲话中，习近平主席洞察人类文明发展规律。
把握顺应自然保护生态的发展大势，明确提出了同住生态文明之基，同走绿色发展之路的5点主张。	把握顺应自然保护生态的发展大势，明确提出了同住生态文明之基，同走绿色发展之路的五点主张。
人民创造历史，劳动开创未来。今年是新中国成立70周年，也是大庆油田发现60周年。	人民创造历史，劳动开创未来。今年是新中国成立七十周年，也是大庆油田发现六十周年。
从波兰壮阔的石油大会战到原有5000万吨以上，连续27年高产稳产。	从波兰壮阔的石油大会战到原有五千万吨以上，连续二十七年高产稳产。
钻透了300多座珠穆朗玛峰。	钻透了三百多座珠穆朗玛峰。
从抢滩国际市场，再到建设百年新油田，60年来，一代又一代的大庆石油人接续传承铁人精神。	从抢滩国际市场，再到建设百年新油田，六十年来，一代又一代的大庆石油人接续传承铁人精神。
实现我们05队队史上总进尺的300万米，很多人可能不理解这个数字，但是300万米就相当于。	实现我们零五队队史上总进尺的三百万米，很多人可能不理解这个数字，但是三百万米就相当于。
促进文化事业健康发展。从2013年至2018年，全国国有文艺院团财政补贴。	促进文化事业健康发展。从二零一三年至二零一八年，全国国有文艺院团财政补贴。
由101亿元增加到154亿元，年均增长近9%。国家艺术基金自2014年成立以来。	由一百零一亿元增加到一百五十四亿元，年均增长近百分之九。国家艺术基金自二零一四年成立以来。
共确立资助项目5112项，资助资金总额约41.1亿元，极大激发了各类文艺创作创新争优的积极性。	共确立资助项目五一一二项，资助资金总额约四十一点一亿元，极大激发了各类文艺创作创新争优的积极性。
以壮阔恢弘的丹青画卷向新中国70华诞献礼。2019年夏天，全国基层院团戏曲汇演在京上演。	以壮阔恢弘的丹青画卷向新中国七十华诞献礼。二零一九年夏天，全国基层院团戏曲汇演在京上演。
创作无愧于时代的优秀作品，将伟大历史征程记载于壮丽画卷。庆祝中华人民共和国成立70周年美术作品展。	创作无愧于时代的优秀作品，将伟大历史征程记载于壮丽画卷。庆祝中华人民共和国成立七十周年美术作品展。
必由之路等73部作品从不同角度讲述了精彩纷呈的中国故事，描绘出新时代的精神图谱。	必由之路等七十三部作品从不同角度讲述了精彩纷呈的中国故事，描绘出新时代的精神图谱。
对申请设立外资保险公司的外国保险公司，取消经营保险业务30年以上。	对申请设立外资保险公司的外国保险公司，取消经营保险业务三十年以上。
第7届世界军人运动会将于10月18号至27号在武汉举行，将有来自100多个国家的近万名军人同台竞技。	第七届世界军人运动会将于十月十八号至二十七号在武汉举行，将有来自一百多个国家的近万名军人同台竞技。
今天60多个国家的运动员入驻军运村，中国代表团参赛队员也已经准备就绪。	今天六十多个国家的运动员入驻军运村，中国代表团参赛队员也已经准备就绪。
除设置常规赛项外，还设有军事5项，空军5项，海军5项，跳伞、定向越野等富有军事特色的比赛项目。	除设置常规赛项外，还设有军事五项，空军五项，海军五项，跳伞、定向越野等富有军事特色的比赛项目。
开幕式全程2小时10分钟左右，其中文艺演出约50分钟。	开幕式全程二小时十分钟左右，其中文艺演出约五十分钟。
这里是武汉体育中心第7届世界军人运动会开幕式，10月18号晚上8点将在这里拉开帷幕。	这里是武汉体育中心第七届世界军人运动会开幕式，十月十八号晚上八点将在这里拉开帷幕。
来了之后发现新疆的人更美，不仅是外表，而且内心也非常的善良淳朴。我在这儿也结交了很多朋友。	来了之后发现新疆的人更美，不仅是外表，而且内心也非常的善良淳朴。我在这也结交了很多朋友。
连日来由中央广播电视总台制作的此时此刻国庆70周年盛典。	连日来由中央广播电视总台制作的此时此刻国庆七十周年盛典。
增速比上月末高0.2个百分点。初步统计，前三季度社会融资规模增量累计为18.74万亿元。	增速比上月末高零点二个百分点。初步统计，前三季度社会融资规模增量累计为十八点七四万亿元。
其中对实体经济发放的人民币贷款增加13.9万亿元。	其中对实体经济发放的人民币贷款增加十三点九万亿元。
今天交通运输部科学研究院发布，9月中国运输生产指数为175.7点。	今天交通运输部科学研究院发布，九月中国运输生产指数为一百七十五点七点。
同比增长4.3%，保持基本平稳。今年7~8月暑运期间，高铁民航客运量较快增长。	同比增长百分之四点三，保持基本平稳。今年七~八月暑运期间，高铁民航客运量较快增长。
一定程度释放了部分9月需求。	一定程度释放了部分九月需求。
第126届中国进出口商品交易会即广交会今天在广州开幕。本届广交会展出商品超过16万种。	第一百二十六届中国进出口商品交易会即广交会今天在广州开幕。本届广交会展出商品超过十六万种。
中国人民银行今天发布数据显示，9月末广义货币m二同比增长8.4%。	中国人民银行今天发布数据显示，九月末广义货币m二同比增长百分之八点四。
第5届中国互联网加大学生创新创业大赛冠军争夺赛昨晚在杭州落幕。	第五届中国互联网加大学生创新创业大赛冠军争夺赛昨晚在杭州落幕。
今天北京市2019年积分落户申报审核工作结束，今年对应的最低分值为93.58分。	今天北京市二零一九年积分落户申报审核工作结束，今年对应的最低分值为九十三点五八分。
实行同分同落，实际公示名单共6007人，取得落户资格人员经公示无异议的可办理常住户口。	实行同分同落，实际公示名单共六千零七人，取得落户资格人员经公示无异议的可办理常住户口。
中国第36次南极科考队今天启程，雪龙二号也同时从深圳起航。	中国第三十六次南极科考队今天启程，雪龙二号也同时从深圳起航。
这是雪龙号和雪龙二号首次双船出海执行科考任务。科考历时半年，预计2020年4月中旬返回。	这是雪龙号和雪龙二号首次双船出海执行科考任务。科考历时半年，预计二零二零年四月中旬返回。
多条河流冰层厚度达5厘米左右，开始进入流冰期比去年提前将近一周。	多条河流冰层厚度达五厘米左右，开始进入流冰期比去年提前将近一周。
叙利亚政府军14号进驻北部重镇曼笔记等多个叙库尔德武装控制区，同时土耳其也将目标锁定慢笔记。	叙利亚政府军十四号进驻北部重镇曼笔记等多个叙库尔德武装控制区，同时土耳其也将目标锁定慢笔记。
另据报道，美国总统特朗普14号签署行政令，授权美国相关部门对包括土耳其多位部长在内的人员实施制裁。	另据报道，美国总统特朗普十四号签署行政令，授权美国相关部门对包括土耳其多位部长在内的人员实施制裁。
此外美军军官14号称，美军仍有部队驻扎在曼比基，不过这些部队正准备撤离。针对当前局势。	此外美军军官十四号称，美军仍有部队驻扎在曼比基，不过这些部队正准备撤离。针对当前局势。
据日本媒体报道，截至当地时间15号19点，海贝斯已经在日本造成至少67人死亡。	据日本媒体报道，截至当地时间十五号十九点，海贝斯已经在日本造成至少六十七人死亡。
本台消息，2019中国海洋经济博览会开幕之际，中共中央总书记国家主席中央军委主席习近平发来贺信。	本台消息，二零一九中国海洋经济博览会开幕之际，中共中央总书记国家主席中央军委主席习近平发来贺信。
14号至15号，中共中央政治局常委国务院总理李克强在陕西西安咸阳考察，他强调。	十四号至十五号，中共中央政治局常委国务院总理李克强在陕西西安咸阳考察，他强调。
