在2014年的时候呢开始这个做这个数字货币的这个项目，成立了项目组。	在二零一四年的时候呢开始这个做这个数字货币的这个项目，成立了项目组。
最后呢你需要交的税是5.06万元。	最后呢你需要交的税是五点零六万元。
所以18万呢我得先乘个80%，这是你的应纳税所得。	所以十八万呢我得先乘个百分之八十，这是你的应纳税所得。
5.06万元就这么多是吧？那我最后给你多少钱，呢我应该给你18万。	五点零六万元就这么多是吧？那我最后给你多少钱，呢我应该给你十八万。
然后呢国家收了你5.06万元的税，最后呢我应该给你12点。	然后呢国家收了你五点零六万元的税，最后呢我应该给你十二点。
你能不能把这18万分每个月给我呢老板说不行，因为因为我们要倒闭了，所以你拿着18万赶紧回家。	你能不能把这十八万分每个月给我呢老板说不行，因为因为我们要倒闭了，所以你拿着十八万赶紧回家。
是吧？李四拿着这个钱回到家里去之后，发现唉同村的张三他也拿18万。	是吧？李四拿着这个钱回到家里去之后，发现唉同村的张三他也拿十八万。
94万对吧？12.94万元，你拿这钱就回家。吧	九十四万对吧？十二点九四万元，你拿这钱就回家。吧
他到底拿了多少钱，两公司一算他一共拿了18万对不对？	他到底拿了多少钱，两公司一算他一共拿了十八万对不对？
减完6万之后他等于12万，那我就先不算这个扣除了，现在都不算。	减完六万之后他等于十二万，那我就先不算这个扣除了，现在都不算。
结果他只扣了6000多，我这扣了5万多，这我肯定心里不爽，对不对？	结果他只扣了六零零零多，我这扣了五万多，这我肯定心里不爽，对不对？
所以最后的结果应该是9480元，对吧？	所以最后的结果应该是九千四百八十元，对吧？
18万元，我得减去你的这个扣免征额，免征额是6万对吧？如果减6万。	十八万元，我得减去你的这个扣免征额，免征额是六万对吧？如果减六万。
你应该交9480，但是你实际上只交了6960，那你怎么办？补。呗	你应该交九四八零，但是你实际上只交了六九六零，那你怎么办？补。呗
所以你得补2520元的税。	所以你得补两千五百二十元的税。
张三必须要在AP p里面申报自己的所得情况，补2520元。	张三必须要在AP p里面申报自己的所得情况，补两千五百二十元。
李四的情况又如何？呢李四也拿到了18万，但是他这个18万吧是劳务所得。	李四的情况又如何？呢李四也拿到了十八万，但是他这个十八万吧是劳务所得。
所以李四的18万呢我先还得乘个80%。	所以李四的十八万呢我先还得乘个百分之八十。
最后应纳税多少？应纳税5880元。	最后应纳税多少？应纳税五千八百八十元。
那么工资再加上什么？呢加上劳务劳务的80%。	那么工资再加上什么？呢加上劳务劳务的百分之八十。
44,720元对吧？他就会退这么多的税。	四十四,七百二十元对吧？他就会退这么多的税。
所以它的这个应纳税所得额呀是8.4万元。	所以它的这个应纳税所得额呀是八点四万元。
因为劳务所得是要乘80%的嘛对不对？然后我还得减去6万元的免征额。	因为劳务所得是要乘百分之八十的嘛对不对？然后我还得减去六万元的免征额。
8.4万元，也是落在了36,000~144,000之间乘个0.1，再减去2520。	八点四万元，也是落在了三十六,~一百四十四,之间乘个零点一，再减去二五二零。
所以它就会退税，退多少？5.06-5880，它会退。	所以它就会退税，退多少？五点零六-五八八零，它会退。
应纳税5880，唉结果你拿了50,600的税，那你是不是要退？	应纳税五八八零，唉结果你拿了五十,六百的税，那你是不是要退？
那这样一来呢张三开始哭的，张三说我还得补是吧？你能退4万多，最后一算我交的钱。	那这样一来呢张三开始哭的，张三说我还得补是吧？你能退四万多，最后一算我交的钱。
这个问题我们就比较好的解决了，对吧？还有一个问题要跟大家说一下，没有地方我写到这儿了。	这个问题我们就比较好的解决了，对吧？还有一个问题要跟大家说一下，没有地方我写到这了。
这个收入如果小于等于12万，那么你就不需要去这个申报了，你看我这个收入一个月也就是5000块钱。	这个收入如果小于等于十二万，那么你就不需要去这个申报了，你看我这个收入一个月也就是五千块钱。
因为你年收入小于等于12万，国家呢就免征了。	因为你年收入小于等于十二万，国家呢就免征了。
第二个呢就是你需要补税，但是你这个补税额小于等于400。	第二个呢就是你需要补税，但是你这个补税额小于等于四百。
你小于等于400的话，呢国家也就不要了是吧？因为毕竟征税它其实还是有成本，的。	你小于等于四百的话，呢国家也就不要了是吧？因为毕竟征税它其实还是有成本，的。
第4种情况呢就是我放弃退税。	第四种情况呢就是我放弃退税。
劳务收入呢给你打个折80%算到综合所得额里面。	劳务收入呢给你打个折百分之八十算到综合所得额里面。
这个稿酬呢首先乘个80%，然后再乘个70%。	这个稿酬呢首先乘个百分之八十，然后再乘个百分之七十。
一个作家他写了一篇文章，他就有稿酬，我写了一本书叫10分钟智商运动，他就给我稿酬。	一个作家他写了一篇文章，他就有稿酬，我写了一本书叫十分钟智商运动，他就给我稿酬。
算作你的综合所得额里面，它为什么还乘个70%，呢可能国家鼓励大家写作。	算作你的综合所得额里面，它为什么还乘个百分之七十，呢可能国家鼓励大家写作。
这个就叫特许使用费，特许使用费再乘个80%。	这个就叫特许使用费，特许使用费再乘个百分之八十。
所以你不用担心说我因为中了五百万，所以呢我就要多交税了，不用担心这事儿。	所以你不用担心说我因为中了五百万，所以呢我就要多交税了，不用担心这事。
什么是免征？呢免征就是对每个人都一样，那国家规定一年有6万元的。	什么是免征？呢免征就是对每个人都一样，那国家规定一年有六万元的。
免征额在这个你的收入不到6万，那你就不用交钱了，这就是。	免征额在这个你的收入不到六万，那你就不用交钱了，这就是。
减多少？呢一个孩子1.2万元每年。	减多少？呢一个孩子一点二万元每年。
一年可以减24,000，这24,000你是不用交税的，生3个孩子就36,000，你生10个孩子就可以减12万。	一年可以减二十四,，这二十四,你是不用交税的，生三个孩子就三十六,，你生十个孩子就可以减十二万。
在个人所得税这里就是这么算的，当然你生10个孩子可能会违反计划生育法，那么你会罚款，那是另外一说。	在个人所得税这里就是这么算的，当然你生十个孩子可能会违反计划生育法，那么你会罚款，那是另外一说。
也就是一个月1000块钱，你生两个孩子呢你就可以减24,000。	也就是一个月一千块钱，你生两个孩子呢你就可以减二十四,。
但是在这里就是一个孩子就是12,000，好，除了这个以外，呢还有就是继续教育。	但是在这里就是一个孩子就是十二,，好，除了这个以外，呢还有就是继续教育。
但是注意你要考下来，你说你考会计证你没考下来，那不能给你扣这3600你考下来了。	但是注意你要考下来，你说你考会计证你没考下来，那不能给你扣这三六零零你考下来了。
如果你去读书的话，那么是4800元每年，如果你考证考下来了，是扣3600。	如果你去读书的话，那么是四千八百元每年，如果你考证考下来了，是扣三六零零。
就扣这3600是吧？下次你再考别的证去，好，这是继续教育你可以扣除的。第三个就是大病医疗。	就扣这三六零零是吧？下次你再考别的证去，好，这是继续教育你可以扣除的。第三个就是大病医疗。
差多少那这个税呢都是不要的，比如说你花了3万。	差多少那这个税呢都是不要的，比如说你花了三万。
最多是8万8万，这是大病医疗。第4个呢就是防弹。	最多是八万八万，这是大病医疗。第四个呢就是防弹。
那于是呢就给你那个减去15,000，这15,000你不用交税了，但是最多是8万。	那于是呢就给你那个减去十五,，这十五,你不用交税了，但是最多是八万。
就不是说你贷款一个月还1万，他就给你免1万的税，不是这样的。	就不是说你贷款一个月还一万，他就给你免一万的税，不是这样的。
如果自负的部分大于15,000的话，那么就是。	如果自负的部分大于十五,的话，那么就是。
所以说一年呢就有12,000，这是你是不用交税的，一个月1000块钱。	所以说一年呢就有十二,，这是你是不用交税的，一个月一千块钱。
它是扣1.8万1.8万元。那如果说你是在一个普通的大城市。呢	它是扣一点八万一.八万元。那如果说你是在一个普通的大城市。呢
它定额定额多少？呢就是11.2万1.2万元每年。	它定额定额多少？呢就是十一点二万一.二万元每年。
9600，而且呢就这个房贷的这个这个优惠和房租的这个优惠只能享受一个。	九六零零，而且呢就这个房贷的这个这个优惠和房租的这个优惠只能享受一个。
是扣1.32。万如果说你是在一个小城市呢是扣9600。	是扣一点三二。万如果说你是在一个小城市呢是扣九六零零。
赡养老人，这老人必须是60岁以上的，赡养老人的话你需要花钱，所以给你免一部分税。	赡养老人，这老人必须是六十岁以上的，赡养老人的话你需要花钱，所以给你免一部分税。
那么都给你免24,000 24,000。	那么都给你免二十四, 二十四,。
如果你说我一个月我想挣1万块钱，可能不是那么难，我每天工作10个小时，我就挣了这1万块钱了。	如果你说我一个月我想挣一万块钱，可能不是那么难，我每天工作十个小时，我就挣了这一万块钱了。
他的潜在客户，比如说100个人，他每天只要工作8个小时就可以把这80个客户给拿到手里。	他的潜在客户，比如说一百个人，他每天只要工作八个小时就可以把这八十个客户给拿到手里。
你说我要挣15,000，你可能每天就得工作20个小时，为什么？呢因为总有一些快递它是不好送的。	你说我要挣十五,，你可能每天就得工作二十个小时，为什么？呢因为总有一些快递它是不好送的。
如果你想要第三个熊掌，你得花300条鱼，于是我们把它们之间的一个关系画在这张图上。	如果你想要第三个熊掌，你得花三百条鱼，于是我们把它们之间的一个关系画在这张图上。
还是那句话，你一天工作8个小时，你的收入是1万，你一天工作20个小时，你可能收入才15,000。	还是那句话，你一天工作八个小时，你的收入是一万，你一天工作二十个小时，你可能收入才十五,。
比如说呢这个孟子如果每天都去打鱼的话，那他可以打600条鱼。	比如说呢这个孟子如果每天都去打鱼的话，那他可以打六百条鱼。
最近呢有个小朋友跟我说，呢他们公司准备要开展996工作制，就是早上9点工作到晚上9点。	最近呢有个小朋友跟我说，呢他们公司准备要开展九百九十六工作制，就是早上九点工作到晚上九点。
如果呢他想打两个熊掌，呢那他的鱼就自然更少一点，他可能只能获得300条鱼了。	如果呢他想打两个熊掌，呢那他的鱼就自然更少一点，他可能只能获得三百条鱼了。
鱼呢可以是100 200 300 400 500 600是吧？600500 400 300 200 100。	鱼呢可以是一百 两百 三百 四百 五百 六百是吧？六零零五零零 四百 三百 两百 一百。
所以3个熊掌就是600个鱼的机会成本，反过来说600个鱼也是3个熊掌的机会成本。	所以三个熊掌就是六百个鱼的机会成本，反过来说六百个鱼也是三个熊掌的机会成本。
所以我们把数据画上去，如果你全用来打鱼的话是600条，此时熊掌是0，这里有一个点。	所以我们把数据画上去，如果你全用来打鱼的话是六百条，此时熊掌是零，这里有一个点。
如果是两个熊掌呢鱼就是300条，这里有一个点三个熊掌就没有鱼，然后我们把它。	如果是两个熊掌呢鱼就是三百条，这里有一个点三个熊掌就没有鱼，然后我们把它。
每周工作6天，当然老板会付给他们一定的加班费，他想问我那加这个班到底合算还是不合算呢？	每周工作六天，当然老板会付给他们一定的加班费，他想问我那加这个班到底合算还是不合算呢？
对吧？如果有一个熊掌的话，呢那鱼就是500条，在这里呢有一个点。	对吧？如果有一个熊掌的话，呢那鱼就是五百条，在这里呢有一个点。
熊掌和500条鱼，它也可以要两个熊掌和300条鱼，它甚至可以要1.5个熊掌，如果熊掌是可分割的话。	熊掌和五百条鱼，它也可以要两个熊掌和三百条鱼，它甚至可以要一点五个熊掌，如果熊掌是可分割的话。
也就是说呢它一小时的时间成本是10元，但是对于富人来讲这就不一样了。	也就是说呢它一小时的时间成本是十元，但是对于富人来讲这就不一样了。
或者是一个包装工，或者是一个什么其他的工人，那么这个穷人呢他每工作一小时可以挣10块钱对吧？	或者是一个包装工，或者是一个什么其他的工人，那么这个穷人呢他每工作一小时可以挣十块钱对吧？
他可以挣多少钱，呢比如他可以挣10元钱，比如他是一个这个快递员。	他可以挣多少钱，呢比如他可以挣十元钱，比如他是一个这个快递员。
比如他可以赚1万元钱，他如果不工作一小时，他就要少赚1万块钱，这就是富人的时间成本。	比如他可以赚一万元钱，他如果不工作一小时，他就要少赚一万块钱，这就是富人的时间成本。
所以我们说第一个熊掌的边际成本是100条鱼，然后我们在这里写出来英雄。	所以我们说第一个熊掌的边际成本是一百条鱼，然后我们在这里写出来英雄。
它的边际成本是多少？呢是100条鱼，好。	它的边际成本是多少？呢是一百条鱼，好。
此时它的鱼又少了300，对吧？所以三个熊第三个熊掌它的机会成本就是300条鱼。	此时它的鱼又少了三百，对吧？所以三个熊第三个熊掌它的机会成本就是三百条鱼。
再加一个熊掌，它的鱼会少多少条？500变300会少200条，对吧？所以二熊。	再加一个熊掌，它的鱼会少多少条？五百变三百会少两百条，对吧？所以二熊。
它的机会成本就是200条鱼了。我们再来看，如果孟子说了，我还再要一个熊掌2变3了。	它的机会成本就是两百条鱼了。我们再来看，如果孟子说了，我还再要一个熊掌二变三了。
各位同学大家好，我是李永乐老师，今天呢是农历的7月7号，也就是传统的七夕节。	各位同学大家好，我是李永乐老师，今天呢是农历的七月七号，也就是传统的七夕节。
比如这颗星，吧这就是北极星，点一下它就会告诉我这个北极星到底是什么玩意儿是吧？	比如这颗星，吧这就是北极星，点一下它就会告诉我这个北极星到底是什么玩意是吧？
洗完下次他进行了很多的天文观测，把他自己能够观察到的1000多颗行星分为了6档。	洗完下次他进行了很多的天文观测，把他自己能够观察到的一千多颗行星分为了六档。
分为了6档，首先呢最亮的叫一等型。	分为了六档，首先呢最亮的叫一等型。
然后是二等星，然后是三等星、四等星五等星一直到六等星，它分为6等。	然后是二等星，然后是三等星、四等星五等星一直到六等星，它分为六等。
六等星是最暗的，如果比6等星还要暗，那我们就看不见了，那么比如说。	六等星是最暗的，如果比六等星还要暗，那我们就看不见了，那么比如说。
名字叫普森。这个普森这位天文学家呢在1850年的时候。	名字叫普森。这个普森这位天文学家呢在一千八百五十年的时候。
咱们想一想1和6差了5档5档，差出100倍来。	咱们想一想一和六差了五档五档，差出一百倍来。
这个六等星不是最暗，嘛那么一等星的平均亮度大概是六等星的100倍，就他们俩差了100倍。	这个六等星不是最暗，嘛那么一等星的平均亮度大概是六等星的一百倍，就他们俩差了一百倍。
5档差100倍，每一档差多少倍？呢	五档差一百倍，每一档差多少倍？呢
是个惩罚，所以我们应该这么想，5档差100倍，每一档位它就会差多少呢？	是个惩罚，所以我们应该这么想，五档差一百倍，每一档位它就会差多少呢？
他发现了一件事儿，什么事儿？呢他发现呢这个一等星不是最亮吗？	他发现了一件事，什么事？呢他发现呢这个一等星不是最亮吗？
就会差多少倍，呢它就会差了跟5次根号下100倍差了这么多倍。	就会差多少倍，呢它就会差了跟五次根号下一百倍差了这么多倍。
每一等级亮度会差这么多倍，这个数大概是2.512。	每一等级亮度会差这么多倍，这个数大概是二点五一二。
也就是说每一等级亮度会差2.512倍，一等比2等。	也就是说每一等级亮度会差二点五一二倍，一等比二等。
量2.512倍，2等比3等量2.512倍，你这么一直算下去一等就会比6等性量100倍了。	量二点五一二倍，二等比三等量二点五一二倍，你这么一直算下去一等就会比六等性量一百倍了。
有的同学可能说那5档差100倍，一档不就差20倍，嘛这个不对，因为它是个乘法。	有的同学可能说那五档差一百倍，一档不就差二十倍，嘛这个不对，因为它是个乘法。
比零等星更亮了，就叫-1等星比六等星暗的就叫七等星比七等星暗的就叫8等星不就完了吗？	比零等星更亮了，就叫-一等星比六等星暗的就叫七等星比七等星暗的就叫八等星不就完了吗？
织女星的星等是0.03等。	织女星的星等是零点零三等。
它的星等是0.76，等它是全天的第十二量性。	它的星等是零点七六，等它是全天的第十二量性。
负的1.46星灯，它是全天第一亮星。	负的一点四六星灯，它是全天第一亮星。
所以呢太阳亮度非常大，太阳的等级是负的26.74的。	所以呢太阳亮度非常大，太阳的等级是负的二十六点七四的。
负的20.74等，那你可以想象它的亮度有多大，再比如说月亮。	负的二十点七四等，那你可以想象它的亮度有多大，再比如说月亮。
它的星等是负的12.74的。	它的星等是负的十二点七四的。
73对不对？每一个等级会差出2.512倍来。	七十三对不对？每一个等级会差出二点五一二倍来。
织女星的亮度比上牛郎星的亮度其实是等于2.512的。	织女星的亮度比上牛郎星的亮度其实是等于二点五一二的。
0.73次幂这个数大约是2，也就是说知女性大概比牛郎星亮一倍。	零点七三次幂这个数大约是二，也就是说知女性大概比牛郎星亮一倍。
量多少倍，呢也是每一星等差2.512倍，差多少星等26.74和12.74，差了14个星等对吧？	量多少倍，呢也是每一星等差二点五一二倍，差多少星等二十六点七四和十二点七四，差了十四个星等对吧？
这个数大概是40万，也就是太阳比喻量大概量40万倍。	这个数大概是四十万，也就是太阳比喻量大概量四十万倍。
绝对星等呢其实就是在100秒差距，或者是在32.6光年。	绝对星等呢其实就是在一百秒差距，或者是在三十二点六光年。
处观察的事情等，就是你把这个星球放在32.6光年之外，然后你去看它。	处观察的事情等，就是你把这个星球放在三十二点六光年之外，然后你去看它。
天上的喜鹊每年到7月7号的时候就会为他们搭一座桥，也就是雀桥。	天上的喜鹊每年到七月七号的时候就会为他们搭一座桥，也就是雀桥。
有一次早上起来给他9头牛，让他出去放牛。	有一次早上起来给他九头牛，让他出去放牛。
这颗星叫天津四，天津4。	这颗星叫天津四，天津四。
那么织女星旁边呢为什么说它还织布？呢就是因为织女镜旁边有4颗小星。	那么织女星旁边呢为什么说它还织布？呢就是因为织女镜旁边有四颗小星。
这4颗小星基本上构成一个菱形的形状。	这四颗小星基本上构成一个菱形的形状。
那么说7月7号这一天牛郎和织女会相会，这个事又对不对？呢	那么说七月七号这一天牛郎和织女会相会，这个事又对不对？呢
也就是说牛郎星发出的光16.8年之后才能看见我们现在看到的牛郎星。	也就是说牛郎星发出的光十六点八年之后才能看见我们现在看到的牛郎星。
是16.8年之前的牛郎星知女星呢知女星。	是十六点八年之前的牛郎星知女星呢知女星。
天勤阿尔法星这个天勤阿尔法星到地球的距离是25.4光年。	天勤阿尔法星这个天勤阿尔法星到地球的距离是二十五点四光年。
它到地球的距离是多远？呢是16.8光年。	它到地球的距离是多远？呢是十六点八光年。
也就是说知女性发的光经过25年的时间才会到达地球，我们现在看到的知女性是25年以前的。	也就是说知女性发的光经过二十五年的时间才会到达地球，我们现在看到的知女性是二十五年以前的。
那么这个天津寺它到地球的距离就比较远了，有1500光年。	那么这个天津寺它到地球的距离就比较远了，有一五零零光年。
牛郎星和织女星它们两个之间也会有距离，人们经过测算，这个距离大概有16.4光年。	牛郎星和织女星它们两个之间也会有距离，人们经过测算，这个距离大概有十六点四光年。
也就是说他们之间距离非常非常远远到了，我看你一眼都需要花16年的时间。	也就是说他们之间距离非常非常远远到了，我看你一眼都需要花十六年的时间。
直径10万光年，10万光年。	直径十万光年，十万光年。
这个星球这就是银河银河，它的直径大概有10万光年。	这个星球这就是银河银河，它的直径大概有十万光年。
那么剩下那11个月的时间，这些人员的工资什么你是不是就节省下来了？	那么剩下那十一个月的时间，这些人员的工资什么你是不是就节省下来了？
月季每年会夺走全世界90万以上的人口，而且呢大部分都是在非洲，而且大部分都是5岁以下的儿童。	月季每年会夺走全世界九十万以上的人口，而且呢大部分都是在非洲，而且大部分都是五岁以下的儿童。
这文章价格其实也不贵，就是一个经过杀虫剂处理的文章，高端文章大概价格就是10美元。	这文章价格其实也不贵，就是一个经过杀虫剂处理的文章，高端文章大概价格就是十美元。
有人说那靠10美元要拯救一个家庭太好了，所以我们就把这个钱捐给非洲，让他们买蚊帐不就行了吗？	有人说那靠十美元要拯救一个家庭太好了，所以我们就把这个钱捐给非洲，让他们买蚊帐不就行了吗？
比例接近100%，为什么呢不要钱嘛白拿，当然谁谁不要谁不要？	比例接近百分之一百，为什么呢不要钱嘛白拿，当然谁谁不要谁不要？
就算是最贵的3元，它其实还是比成本10美元要低的，也就是说还是经过补贴的。	就算是最贵的三元，它其实还是比成本十美元要低的，也就是说还是经过补贴的。
如果说你不要钱的话，那比例接近于100%是吧？	如果说你不要钱的话，那比例接近于百分之一百是吧？
那这个数大概是20%，就是在大概20%的这个比例，如果你花300元的话，它还是有人买的。	那这个数大概是百分之二十，就是在大概百分之二十的这个比例，如果你花三百元的话，它还是有人买的。
经过迪福勒的调查发现呢几乎没有区别，80%的人。	经过迪福勒的调查发现呢几乎没有区别，百分之八十的人。
再拿回去之后都会使用在自己的家里边不会去做渔网，也不会去做这个婚纱，80%的人都会使用它。	再拿回去之后都会使用在自己的家里边不会去做渔网，也不会去做这个婚纱，百分之八十的人都会使用它。
不管你是免费拿回来的，还是你花了300元拿过来的，结果都是一样。	不管你是免费拿回来的，还是你花了三百元拿过来的，结果都是一样。
大家知道会有什么效果吗？这个国家的gdp会增长30%以上。	大家知道会有什么效果吗？这个国家的gdp会增长百分之三十以上。
我们国家的9年义务教育其实普及的还比较好，但是呢很多发展中国家其实做的不好。	我们国家的九年义务教育其实普及的还比较好，但是呢很多发展中国家其实做的不好。
这是最起码的要求，对吧？你完成9年义务教育，肯定你比你完成三年义务教育要好。	这是最起码的要求，对吧？你完成九年义务教育，肯定你比你完成三年义务教育要好。
来研究一下我们用100美元通过什么样的方式能够增加学生们受教育的年限。	来研究一下我们用一百美元通过什么样的方式能够增加学生们受教育的年限。
于是提弗洛他们呢就又来到了印度，他们在印度呢继续做他们的对比实验他们想花100美元。	于是提弗洛他们呢就又来到了印度，他们在印度呢继续做他们的对比实验他们想花一百美元。
经过统计他发现呢可以增加1.7年。	经过统计他发现呢可以增加一点七年。
这1.7年可能是有一个小孩他多读了1.7年的书。	这一点七年可能是有一个小孩他多读了一点七年的书。
也可能是两个小孩，每个小孩都读了0.85年的书，最后平均来讲。	也可能是两个小孩，每个小孩都读了零.八五年的书，最后平均来讲。
100块钱花出去，结果呢就增加了一个小孩1.7年的读书时间。	一百块钱花出去，结果呢就增加了一个小孩一点七年的读书时间。
8年的时间那看起来比顾教师要更好一些，对吧？还有没有更好的方法？呢	八年的时间那看起来比顾教师要更好一些，对吧？还有没有更好的方法？呢
结果经过对比发现那除虫的这个时候每每100美元花下去。	结果经过对比发现那除虫的这个时候每每一百美元花下去。
说家长呢就觉得读书这玩意没有什么用，像买彩票一样，说我有10个孩子，我这10个孩子里边。吧	说家长呢就觉得读书这玩意没有什么用，像买彩票一样，说我有十个孩子，我这十个孩子里边。吧
可以增加28.6年的读书年限，所以说除虫是一个非常有效的方式。	可以增加二十八点六年的读书年限，所以说除虫是一个非常有效的方式。
那么如果把这个观念给家长们贯彻了之后，可以增加多少读书年限？呢40年。	那么如果把这个观念给家长们贯彻了之后，可以增加多少读书年限？呢四十年。
因为贯彻关键这件事并不需要花什么钱，所以100美元花下去的话，你会发现可以增加40年的读书年限。	因为贯彻关键这件事并不需要花什么钱，所以一百美元花下去的话，你会发现可以增加四十年的读书年限。
平均来讲你多读一年书就比少读一年书，你的工资会多8%，这是有数据统计的。	平均来讲你多读一年书就比少读一年书，你的工资会多百分之八，这是有数据统计的。
此时他明天的财富比今天财富还要少，他就在这儿了。	此时他明天的财富比今天财富还要少，他就在这了。
一生病一下子跑这儿来了，结果呢就掉到贫穷陷阱里面去了。	一生病一下子跑这来了，结果呢就掉到贫穷陷阱里面去了。
他是一个孟加拉人，尤努斯是个大学教授，他的生活条件其实是不错的，1974年的时候孟加拉发生了饥荒。	他是一个孟加拉人，尤努斯是个大学教授，他的生活条件其实是不错的，一九七四年的时候孟加拉发生了饥荒。
那是因为这是一个交易对吧？你就带着钱了，你就必须把矿卖给他，卖24美分，我一天可以挣两美分。	那是因为这是一个交易对吧？你就带着钱了，你就必须把矿卖给他，卖二十四美分，我一天可以挣两美分。
他说呢我没有本金，没有办法买竹子，所以我每天要借22美分去买竹子。	他说呢我没有本金，没有办法买竹子，所以我每天要借二十二美分去买竹子。
于是他自己掏了27美元借给了45个农夫，让他们去编竹筐。	于是他自己掏了二十七美元借给了四十五个农夫，让他们去编竹筐。
但是如果你找到一个穷人，你跟他说我让你每天的资产增加1%，他可能理都不理你。	但是如果你找到一个穷人，你跟他说我让你每天的资产增加百分之一，他可能理都不理你。
比如说你找到比尔盖茨，你说我每天让你的资产增加1%，那他还恨不得把你变成CEO对吧？	比如说你找到比尔盖茨，你说我每天让你的资产增加百分之一，那他还恨不得把你变成CEO对吧？
办葬礼的钱要花掉一年中家庭收入的40%以上，所以这一笔浪费呢其实挺严重的。	办葬礼的钱要花掉一年中家庭收入的百分之四十以上，所以这一笔浪费呢其实挺严重的。
深入到全世界许许多多的，国家花了20年的时间。	深入到全世界许许多多的，国家花了二十年的时间。
他们的医疗状况是非常差的，每年呢有900万人。	他们的医疗状况是非常差的，每年呢有九百万人。
900万人会在5岁之前夭折。	九百万人会在五岁之前夭折。
免费发放疫苗，但是实际上呢全球每年有2500万的儿童。	免费发放疫苗，但是实际上呢全球每年有两千五百万的儿童。
这2500万的儿童没有接受疫苗的注射，也就是说他们的疫苗缺失，了，他们没有抵御能力。	这两千五百万的儿童没有接受疫苗的注射，也就是说他们的疫苗缺失，了，他们没有抵御能力。
5岁之前就夭折了，而且这些人绝大多数都是在撒哈拉以南的非洲。	五岁之前就夭折了，而且这些人绝大多数都是在撒哈拉以南的非洲。
分布在大山那边，而这个地区呢他们的疫苗免疫率大概只有多少？大概只有1%。	分布在大山那边，而这个地区呢他们的疫苗免疫率大概只有多少？大概只有百分之一。
只有1%完成了所有的疫苗，剩下那些人呢都没有完成，说他为什么不完成？呢	只有百分之一完成了所有的疫苗，剩下那些人呢都没有完成，说他为什么不完成？呢
那么第二呢他选了一些村子说，这些村子呀我做一件事儿。	那么第二呢他选了一些村子说，这些村子呀我做一件事。
有百分之6%那非常少对吧？没有达到我们的预期。	有百分之百分之六那非常少对吧？没有达到我们的预期。
有17%唉这个相比于刚才已经翻了大概三倍了，对吧？	有百分之十七唉这个相比于刚才已经翻了大概三倍了，对吧？
38你可以对比一下，跟什么都不做相比这一个有奖励的情况下，它的疫苗覆盖率大大提高了。	三十八你可以对比一下，跟什么都不做相比这一个有奖励的情况下，它的疫苗覆盖率大大提高了。
很多人都知道静脉曲张患病的人呢都是9站的是吧？	很多人都知道静脉曲张患病的人呢都是九站的是吧？
9站不动的人有哪些？呢比如说最典型的就是厨师厨师往那一站就炒菜对吧？所以就一直站着不动。	九站不动的人有哪些？呢比如说最典型的就是厨师厨师往那一站就炒菜对吧？所以就一直站着不动。
你这个腿不是在椅子上那么垂着，嘛你把它抬起来跟身体呈90度角抬一会儿，然后你再放下。	你这个腿不是在椅子上那么垂着，嘛你把它抬起来跟身体呈九十度角抬一会，然后你再放下。
有100个人，这100个人里面呢有95个人，他们的眼睛是蓝色的蓝眼睛。	有一百个人，这一百个人里面呢有九十五个人，他们的眼睛是蓝色的蓝眼睛。
回头这边先生一想，其实我也没说出什么来，因为呢你有5个红眼睛的人。	回头这边先生一想，其实我也没说出什么来，因为呢你有五个红眼睛的人。
结果没想到外星人走之后，第5天村子里这5个红眼睛的人就都自杀了，大家能想清楚这是为什么吗？	结果没想到外星人走之后，第五天村子里这五个红眼睛的人就都自杀了，大家能想清楚这是为什么吗？
同样道理，我们依次类推，如果村子里只有5个红眼睛的人，那会有什么结果？	同样道理，我们依次类推，如果村子里只有五个红眼睛的人，那会有什么结果？
这5个红眼睛的人到了第5天就会一起自杀，就是这样一个结果。	这五个红眼睛的人到了第五天就会一起自杀，就是这样一个结果。
有人可能还问那这5个红眼睛的人自杀之后，蓝眼睛的人会不会也自杀？呢不会的，为什么？呢	有人可能还问那这五个红眼睛的人自杀之后，蓝眼睛的人会不会也自杀？呢不会的，为什么？呢
的事儿就叫共有知识，那么比共有知识层次更深的叫做公共知识。	的事就叫共有知识，那么比共有知识层次更深的叫做公共知识。
这个问题是这样的，说有一个村子这个村子里面呢有100个人。	这个问题是这样的，说有一个村子这个村子里面呢有一百个人。
一从将军那儿接到了进攻命令，从二这儿接到了进攻命令，从三这儿接到了进撤退命令。	一从将军那接到了进攻命令，从二这接到了进攻命令，从三这接到了进撤退命令。
这样一来二号也应该是选择进攻，于是就满足了1和2都进攻，并且忠实的执行了。	这样一来二号也应该是选择进攻，于是就满足了一和二都进攻，并且忠实的执行了。
他会从一这儿接到一个进攻命令，从。	他会从一这接到一个进攻命令，从。
他给6个副官发命令。	他给六个副官发命令。
他给6个副官发命令。	他给六个副官发命令。
我们假设这个5和6它是叛徒。	我们假设这个五和六它是叛徒。
于是他怎么办？他就得去问3456，他问说二告诉你他收到将军的命令是什么？	于是他怎么办？他就得去问三四五六，他问说二告诉你他收到将军的命令是什么？
这话特别绕，他会问3456，他问说二告诉你他接到的命令是什么？	这话特别绕，他会问三四五六，他问说二告诉你他接到的命令是什么？
4号也是忠诚的。	四号也是忠诚的。
